customer_name,cloud_account_number,product_name,usage_type,price_book,seller_cost_usd,customer_cost_usd,margin_usd,usage_quantity,fecha
Sourcing SPA (Andres Yelpi),303559958125,Elastic Load Balancing,USE1-EUC1-AWS-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Elastic Load Balancing,USE1-USE2-AWS-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Elastic Load Balancing,USE1-EUW2-AWS-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),303559958125,Elastic Load Balancing,USE1-APN2-AWS-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,Elastic Load Balancing,LoadBalancerUsage,AWS Price Book,0.13,0.135,0.004,6.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,Elastic Load Balancing,DataTransfer-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,Elastic Load Balancing,USE1-EUW2-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),435812277030,Elastic Load Balancing,USE1-USW2-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Elastic Load Balancing,LoadBalancerUsage,AWS Price Book,0.39,0.405,0.012,18.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Elastic Load Balancing,DataTransfer-Out-Bytes,AWS Price Book,0.0,0.002,0.0,0.08,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Elastic Load Balancing,DataTransfer-Regional-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Elastic Load Balancing,DataTransfer-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.02,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Elastic Load Balancing,USE1-APS2-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Elastic Load Balancing,USE1-EUW2-AWS-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Elastic Load Balancing,USE1-USE2-AWS-Out-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
Sourcing SPA (Andres Yelpi),767398103037,Elastic Load Balancing,USE1-EUC1-AWS-In-Bytes,AWS Price Book,0.0,0.0,0.0,0.0,2025-04-03
